run,variant,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
mask_ratio_030/masked_bimamba/fold_2/seed_3407,mask_ratio_030,masked_bimamba,fold_2,seed_3407,0.8734650293646556,0.6080402010050251,0.7492260061919505,0.8993548387096775,0.6712898751733702,0.9154658943373614,1394,156,81,242,0.07956269544696468,0.7301587301587301,0.6458333333333334,1.0,0.46875,0.7848101265822784,0.9576612903225806,15,17,0,31,1.0,31,31,25,206.13834173156206,0.25161290322580643,35
mask_ratio_030/masked_bimamba/fold_2/seed_42,mask_ratio_030,masked_bimamba,fold_2,seed_42,0.8788040576615056,0.616504854368932,0.7863777089783281,0.8980645161290323,0.6911564625850339,0.930184759812244,1392,158,69,254,0.15421981509129268,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.9606854838709677,14,18,0,31,1.0,31,31,28,230.87494273934954,-0.13548387096774195,67
mask_ratio_030/masked_bimamba/fold_3/seed_2026,mask_ratio_030,masked_bimamba,fold_3,seed_2026,0.871779508687837,0.5316455696202531,0.717948717948718,0.8968641114982578,0.610909090909091,0.8698382917895113,1287,148,66,168,0.6349735837237278,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.6,0.761904761904762,0.8419753086419753,18,12,3,24,0.8518518518518519,23,27,18,166.15384615384616,0.10434782608695654,95
mask_ratio_030/masked_bimamba/fold_3/seed_3407,mask_ratio_030,masked_bimamba,fold_3,seed_3407,0.871779508687837,0.5314465408805031,0.7222222222222222,0.8961672473867596,0.6123188405797102,0.8541022662973883,1286,149,65,169,0.6599195687503706,0.7719298245614035,0.6944444444444444,0.9259259259259259,0.6333333333333333,0.7936507936507936,0.8481481481481482,19,11,2,25,0.8888888888888888,24,27,15,138.46153846153845,0.11666666666666665,98
mask_ratio_030/masked_bimamba/fold_3/seed_42,mask_ratio_030,masked_bimamba,fold_3,seed_42,0.8639904134212103,0.5117845117845118,0.6495726495726496,0.8989547038327527,0.5725047080979284,0.8316239316239316,1290,145,82,152,0.30985877147656427,0.7719298245614035,0.6842105263157895,0.9629629629629629,0.6,0.7999999999999999,0.8555555555555556,18,12,1,26,0.8888888888888888,24,27,22,203.07692307692307,0.29166666666666663,39
no_bidirectional/masked_bimamba/fold_0/seed_2026,no_bidirectional,masked_bimamba,fold_0,seed_2026,0.8245192307692307,0.5825471698113207,0.6823204419889503,0.8640552995391705,0.6284987277353689,0.8481150970457689,1125,177,115,247,0.2937342970757387,0.6774193548387096,0.6170212765957447,0.9354838709677419,0.41935483870967744,0.7435897435897436,0.8366285119667014,13,18,2,29,0.9354838709677419,29,31,25,230.06134969325146,0.44137931034482775,47
no_bidirectional/masked_bimamba/fold_0/seed_3407,no_bidirectional,masked_bimamba,fold_0,seed_3407,0.8413461538461539,0.6243654822335025,0.6795580110497238,0.8863287250384024,0.6507936507936508,0.8746976602082644,1154,148,116,246,0.2818244505066944,0.7580645161290323,0.6818181818181818,0.967741935483871,0.5483870967741935,0.8,0.8511966701352758,17,14,1,30,0.967741935483871,30,31,22,202.45398773006127,0.4866666666666666,42
no_bidirectional/masked_bimamba/fold_0/seed_42,no_bidirectional,masked_bimamba,fold_0,seed_42,0.8491586538461539,0.6520547945205479,0.6574585635359116,0.9024577572964669,0.6547455295735901,0.8334139572777962,1175,127,124,238,0.3503019412343677,0.7258064516129032,0.6521739130434783,0.967741935483871,0.4838709677419355,0.7792207792207793,0.8480749219562955,15,16,1,30,0.967741935483871,30,31,19,174.8466257668711,0.56,46
no_bidirectional/masked_bimamba/fold_1/seed_2026,no_bidirectional,masked_bimamba,fold_1,seed_2026,0.8310176492677431,0.5017064846416383,0.6504424778761062,0.8679330619629128,0.5664739884393063,0.809390297106583,1919,292,158,294,0.5263201742456793,0.6410256410256411,0.5901639344262295,0.9230769230769231,0.358974358974359,0.7200000000000001,0.7981591058514135,14,25,3,36,0.9230769230769231,36,39,39,230.31496062992133,0.1888888888888888,65
no_bidirectional/masked_bimamba/fold_1/seed_3407,no_bidirectional,masked_bimamba,fold_1,seed_3407,0.83552384528727,0.5148305084745762,0.5376106194690266,0.8964269561284487,0.5259740259740259,0.8148617331684298,1982,229,209,243,0.19928358723537123,0.6282051282051282,0.5925925925925926,0.8205128205128205,0.4358974358974359,0.6881720430107526,0.789612097304405,17,22,7,32,0.8205128205128205,32,39,35,206.69291338582684,0.33124999999999993,22
